Binomial.1.2,Q
Atelocynus_microtis,55.13076360213462
Atherurus_africanus,808.6481039003849
Atherurus_macrourus,832.4210945491534
Atilax_paludinosus,103.94853574396942
Atlantoxerus_getulus,1354.4960067342388
Auliscomys_boliviensis,961.1625228456874
Auliscomys_pictus,887.83241842762
Auliscomys_sublimis,848.6386817492155
Avahi_betsileo,649.1247460888678
Avahi_cleesei,591.2156788272642
Avahi_laniger,696.2575405834906
Avahi_meridionalis,665.7647539513403
Avahi_mooreorum,626.3847175633415
Avahi_occidentalis,597.8344646227033
Avahi_peyrierasi,636.0498993587046
Avahi_ramanantsoavanai,643.4251270827476
Avahi_unicolor,602.5521952462982
Axis_axis,1830.0076263382582
Axis_calamianensis,1667.0757627477701
Axis_kuhlii,1744.6230229098055
Axis_porcinus,1696.2782790937981
Aztlanolagus_agilis,1537.5073642611633
Babakotia_radofilai,1203.7544465962665
Babyrousa_babyrussa,701.0368126203228
Babyrousa_celebensis,681.5383334700257
Babyrousa_togeanensis,720.5574691975257
Baiomys_musculus,840.7282826404439
Baiomys_taylori,863.075752194156
Baiyankamys_habbema,1152.6210545111057
Baiyankamys_shawmayeri,1113.4557636734644
Bandicota_bengalensis,2423.128666830076
Bandicota_indica,3113.6779891534675
Bandicota_savilei,2453.577475679881
Bassaricyon_alleni,106.11703793533239
Bassaricyon_gabbii,105.50782463661555
Bassaricyon_medius,105.74305586864487
Bassaricyon_neblina,111.2745968580234
Bassariscus_astutus,86.08487022745453
Bassariscus_sumichrasti,114.50962313822374
Bathyergus_janetta,1649.2958803954941
Bathyergus_suillus,1752.5363842872725
Batomys_dentatus,1452.8051633059297
Batomys_granti,1452.0662606165718
Batomys_russatus,1292.7038485678465
Batomys_salomonseni,1422.322652954305
Bdeogale_crassicauda,81.55177390406872
Bdeogale_jacksoni,89.99989124375787
Bdeogale_nigripes,89.65105685408587
Bdeogale_omnivora,83.36411882390489
Beamys_hindei,601.408428628474
Beatragus_hunteri,942.9322078950379
Belomys_pearsonii,661.6527749746899
Berylmys_berdmorei,2036.9034121892812
Berylmys_bowersi,2164.231634085602
Berylmys_mackenziei,2061.6166490007968
Berylmys_manipulus,1791.9744502953843
Bettongia_anhydra,454.2318725251743
Bettongia_gaimardi,421.0532777128185
Bettongia_lesueur,431.46202476550457
Bettongia_penicillata,408.7714962321482
Bettongia_pusilla,460.4584556026945
Bettongia_tropica,398.1188573193838
Bibimys_chacoensis,883.8588813560598
Bibimys_labiosus,906.5658240286631
Bibimys_torresi,882.7741596890443
Bison_bison,1156.359825220903
Bison_bonasus,1239.1813661406127
Biswamoyopterus_biswasi,965.9026968162029
Blanfordimys_afghanus,5573.705369372384
Blanfordimys_bucharensis,5678.902740567006
Blarina_brevicauda,951.7918739965103
Blarina_carolinensis,722.2507484950114
Blarina_hylophaga,629.9129473611949
Blarinella_griselda,486.28678023189747
Blarinella_quadraticauda,525.0594594303394
Blarinella_wardi,475.2526832595517
Blarinomys_breviceps,940.9729706221599
Blastocerus_dichotomus,722.303043414139
Bootherium_bombifrons,712.883030893128
Boromys_offella,1521.0966137170606
Boromys_torrei,1252.3777980222
Borungaboodie_hatcheri,861.8124987633383
Bos_gaurus,1339.2180436913857
Bos_javanicus,1309.387470878013
Bos_mutus,1269.7414448571105
Bos_primigenius,1353.1160823223372
Bos_sauveli,1374.1046069606598
Boselaphus_tragocamelus,1315.822335660664
Brachiones_przewalskii,584.322688193818
