Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,Terrestrial,Marine,Freshwater,Aerial,Life.Habit.Method,Life.Habit.Source,Mass.g,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,Island.Endemicity,IUCN.Status.1.2,Added.IUCN.Status.1.2,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Diet.Method,Diet.Source,log10fmr,se.fmr,log10density,se.dens
Meriones_rex,Rodentia,Muridae,Meriones,rex,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,125.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.1450010111111113,0.0670048061832139,2.43838697025868,0.3049511184964281
Meriones_sacramenti,Rodentia,Muridae,Meriones,sacramenti,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,200,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,VU,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.291875966666667,0.05972292558085763,2.3588250650353477,0.3265212226809429
Meriones_shawi,Rodentia,Muridae,Meriones,shawi,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,90.6,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.055538711111111,0.05914577873186695,2.5276044135528397,0.31881304316178816
Meriones_tamariscinus,Rodentia,Muridae,Meriones,tamariscinus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,120,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.132173188888889,0.06694404313835599,2.4651180862737943,0.32856685159305354
Meriones_tristrami,Rodentia,Muridae,Meriones,tristrami,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,105,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.099422711111111,0.0595390521297459,2.4950319228996594,0.3174982673671472
Meriones_unguiculatus,Rodentia,Muridae,Meriones,unguiculatus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,53.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",1.9160335666666664,0.05003840346432956,2.6420167767294025,0.31704194999422686
Meriones_vinogradovi,Rodentia,Muridae,Meriones,vinogradovi,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,150,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.2071504111111113,0.05935329081170466,2.4198638846852507,0.32112933448185654
Meriones_zarudnyi,Rodentia,Muridae,Meriones,zarudnyi,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,82.4,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,DD,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.026789311111111,0.05905607283804091,2.5519784518682975,0.32390803662263545
Mesechinus_dauuricus,Eulipotyphla,Erinaceidae,Mesechinus,dauuricus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,342,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,30,70,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.3580331666666665,0.07726665152803157,2.124835026689946,0.511855825791049
Mesechinus_hughi,Eulipotyphla,Erinaceidae,Mesechinus,hughi,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,199.3,Assumed isometric based on head-body length,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",Mesechinus_dauuricus,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",Occurs on mainland,LC,No,30,70,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.195818733333333,0.07703300281559182,2.243454774367386,0.5119368707322465
Mesembriomys_gouldii,Rodentia,Muridae,Mesembriomys,gouldii,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,716.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,VU,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.7228814555555556,0.0708973473166104,2.2076517331131154,0.3285214000143076
Mesembriomys_macrurus,Rodentia,Muridae,Mesembriomys,macrurus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,267,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.426961911111111,0.0707142227595846,2.42806951684265,0.3301978132101694
Mesocapromys_angelcabrerai,Rodentia,Echimyidae,Mesocapromys,angelcabrerai,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,483,Reported,"Bottoto-Paez R, Mancina CA. Maniferos en Cuba (2011)",NA,NA,Occurs only on isolated islands,EN,No,100,0,0,Estimated Expert Species,"Wilson, D. E., et al., editors. 2016. Handbook of the Mammals of the World: 6. Lagomorphs and Rodents I. First edition. Lynx Edicions, Barcelona.",2.541468011111111,0.10486373917517526,2.5835729735021755,0.4424735203448271
Mesocapromys_auritus,Rodentia,Echimyidae,Mesocapromys,auritus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,820,Reported,"Bottoto-Paez R, Mancina CA. Maniferos en Cuba (2011)",NA,NA,Occurs only on isolated islands,EN,No,100,0,0,Estimated Expert Species,"Wilson, D. E., et al., editors. 2016. Handbook of the Mammals of the World: 6. Lagomorphs and Rodents I. First edition. Lynx Edicions, Barcelona.",2.6982451666666667,0.10345567931745944,2.462782910609964,0.4533008387993248
