Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,Terrestrial,Marine,Freshwater,Aerial,Life.Habit.Method,Life.Habit.Source,Mass.g,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,Island.Endemicity,IUCN.Status.1.2,Added.IUCN.Status.1.2,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Diet.Method,Diet.Source,log10FMR_est,se.fmr,log10dens.est,se.dens
Episoriculus_caudatus,Eulipotyphla,Soricidae,Episoriculus,caudatus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,9.1,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,30,70,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",1.6846208823632074,0.10286154995041022,2.60034374289377,0.05930863832076629
Episoriculus_fumidus,Eulipotyphla,Soricidae,Episoriculus,fumidus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,6.7,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on large land bridge islands,LC,No,0,30,70,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",1.5925156721874942,0.1042708305852376,2.677189067082952,0.06152111073909785
Episoriculus_leucops,Eulipotyphla,Soricidae,Episoriculus,leucops,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,8.2,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,30,70,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",1.6527771559711908,0.10314421695637314,2.6264820756786635,0.06005659394918167
Episoriculus_macrurus,Eulipotyphla,Soricidae,Episoriculus,macrurus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,13.6,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,30,70,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",1.8069877021625838,0.10321219368346309,2.499496468181402,0.0564712957510335
Epixerus_ebii,Rodentia,Sciuridae,Epixerus,ebii,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,592,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.6243752282123487,0.074314330288938385,2.2385055464104338,0.06405698139473495
Equus_africanus,Perissodactyla,Equidae,Equus,africanus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,325e3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,CR,No,100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",4.854024120258922,0.0696283282865024,-0.03087826605434607,0.05692735548361256
Equus_ferus,Perissodactyla,Equidae,Equus,ferus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,25e4,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,EN,No,100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",4.790405820339737,0.03163674595531721,0.03497296674200445,0.055110785053120566
Equus_francisci,Perissodactyla,Equidae,Equus,francisci,1,0,0,0,Imputed,PHYLACINE 1.2,372e3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,EP,Yes,100,0,0,Imputed 000 Species,PHYLACINE 1.2,4.895302379094765,0.06935677922010954,-0.06477937136566547,0.057876715278003435
Equus_grevyi,Perissodactyla,Equidae,Equus,grevyi,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,407999.8,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,EN,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",4.922378930207678,0.06996689772716369,-0.08796417795676703,0.058531196712026286
Equus_hemionus,Perissodactyla,Equidae,Equus,hemionus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,23e4,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,NT,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",4.748668500959519,0.07002254824468784,0.05590105217438612,0.05454153528347222
Equus_hydruntinus,Perissodactyla,Equidae,Equus,hydruntinus,1,0,0,0,Imputed,PHYLACINE 1.2,227130,Reported,Philosophical Transactions fo the Royal Society of London Series B 366: 2564-2576 (2011),NA,NA,Occurs on mainland,EP,Yes,100,0,0,Imputed 000 Species,PHYLACINE 1.2,4.744559298823943,0.0691556400595416,0.05905269580095496,0.054456162225747104
Equus_kiang,Perissodactyla,Equidae,Equus,kiang,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,275e3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",4.802641901572846,0.0692432530496312,0.011050909937144304,0.05576633867959669
Equus_ovodovi,Perissodactyla,Equidae,Equus,ovodovi,1,0,0,0,Imputed,PHYLACINE 1.2,227130,As relative of suggested similar size,The species was misidentified as Equus hydruntinus until genetic studies were made,Equus_hydruntinus,NA,Occurs on mainland,EP,Yes,100,0,0,Imputed 000 Species,PHYLACINE 1.2,4.7452744261797015,0.06942647309802163,0.05905269580095496,0.054456162225747104
Equus_quagga,Perissodactyla,Equidae,Equus,quagga,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,276e3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,NT,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",4.803664195145016,0.06937138593591805,0.010139868559689624,0.05579140493859956
Equus_zebra,Perissodactyla,Equidae,Equus,zebra,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,286998.7,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,VU,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",4.816388220465626,0.06975927772887047,3.3191394611309377e-4,0.05606171785107864
Eremitalpa_granti,Afrosoricida,Chrysochloridae,Eremitalpa,granti,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,26.1,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,10,90,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",1.221635316919233,0.034234060657071866,2.6830402092940746,0.08611138569806288
Eremodipus_lichtensteini,Rodentia,Dipodidae,Eremodipus,lichtensteini,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,51,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",1.9367723774754435,0.10773700144496352,2.167746823483138,0.04782392288775413
Eremoryzomys_polius,Rodentia,Cricetidae,Eremoryzomys,polius,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,60.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,DD,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.038846089980362,0.07834823788457164,2.833004653399747,0.050426000596981546
Eremotherium_laurillardi,Pilosa,Megatheriidae,Eremotherium,laurillardi,1,0,0,0,Imputed,PHYLACINE 1.2,3961480,Reported,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",NA,NA,Occurs on mainland,EP,Yes,100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",4.90983529534031,0.11689530224743333,-0.6584948164142328,0.0756484482099576
Erethizon_dorsatum,Rodentia,Erethizontidae,Erethizon,dorsatum,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,7085.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",3.356696614585831,0.0859646104151725,1.615476352428514,0.06894672659186768
Erinaceus_amurensis,Eulipotyphla,Erinaceidae,Erinaceus,amurensis,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,800,Reported,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",NA,NA,Occurs on mainland,LC,No,0,20,80,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.5785540419587707,0.0732740168835683,1.4768205712185163,0.03590353230203493
Erinaceus_concolor,Eulipotyphla,Erinaceidae,Erinaceus,concolor,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,719,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,20,80,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.549226407653314,0.06921158091982108,1.50361401992517,0.036133083800565104
Erinaceus_europaeus,Eulipotyphla,Erinaceidae,Erinaceus,europaeus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,771,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,20,80,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.5720435049758232,0.06858762957219168,1.486088023825673,0.03598028467253403
Erinaceus_roumanicus,Eulipotyphla,Erinaceidae,Erinaceus,roumanicus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,745,Reported,"Aulagnier S, Haffner P, Mitchell-Jones AJ, Moutou F, Zima, J. The Mammals of Europe, North Africa and the Middle East (2009)",NA,NA,Occurs on mainland,LC,No,0,20,80,Transformed 000 Genus,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",2.557489959176785,0.07194105983721968,1.4946980794423306,0.03605410550367375
Eropeplus_canus,Rodentia,Muridae,Eropeplus,canus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,235,Assumed isometric based on head-body length,Nowak RM. Walker's mammals of the world (1999),Lenomys_meyeri,Flannery TM. Mammals of the South West Pacific & Moluccan Islands (1994),Occurs only on isolated islands,VU,No,82,0,18,Imputed 000 Species,PHYLACINE 1.2,2.3471711238294364,0.0885498135874813,2.726636849993093,0.07231551267774725
Erythrocebus_patas,Primates,Cercopithecidae,Erythrocebus,patas,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,8090,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",3.47585103632605,0.07231707073363193,1.229478466787313,0.0836072904898715
Euceratherium_collinum,Cetartiodactyla,Bovidae,Euceratherium,collinum,1,0,0,0,Imputed,PHYLACINE 1.2,45e4,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,EP,Yes,100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",4.819943539247215,0.06951952546929632,-0.11255656279823523,0.05922986520118461
Euchoreutes_naso,Rodentia,Dipodidae,Euchoreutes,naso,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,24.1,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",1.722522153659896,0.12268045862720979,2.3558936065045692,0.05258284977189975
Eudorcas_albonotata,Cetartiodactyla,Bovidae,Eudorcas,albonotata,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,25e3,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Occurs on mainland,LC,No,100,0,0,Transformed 000 Species,"Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.",3.9784150647190635,0.07466174767851612,0.612902538438477,0.041406590078283526
Eudorcas_rufifrons,Cetartiodactyla,Bovidae,Eudorcas,rufifrons,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,26999.8,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,VU,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",4.002011867149495,0.07396267796000162,0.5935878209495167,0.04177642315811592
Eudorcas_rufina,Cetartiodactyla,Bovidae,Eudorcas,rufina,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,4e4,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,DD,No,100,0,0,Imputed 000 Species,PHYLACINE 1.2,4.121082461827734,0.0743287664950807,0.4949355642874469,0.043782387870598974
Eudorcas_thomsonii,Cetartiodactyla,Bovidae,Eudorcas,thomsonii,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,20499.8,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,NT,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",3.918281997229173,0.07422512233104973,0.6627145105272394,0.04049020250491932
Eulemur_albifrons,Primates,Lemuridae,Eulemur,albifrons,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,2300,Reported,Garbutt N. Mammals of Madagascar a Complete Guide (2007),NA,NA,Occurs only on isolated islands,EN,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.8642402935276667,0.0618375511206123,1.793357995508729,0.12386831724786566
Eulemur_cinereiceps,Primates,Lemuridae,Eulemur,cinereiceps,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,1920,Reported,American Journal of Physical Anthropology 145: 55-66 (2007),NA,NA,Occurs only on isolated islands,CR,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.811781742719814,0.07627782836166926,1.8386830510833416,0.12378934165934
Eulemur_collaris,Primates,Lemuridae,Eulemur,collaris,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,2375,Reported,Garbutt N. Mammals of Madagascar a Complete Guide (2007),NA,NA,Occurs only on isolated islands,EN,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.8762299219930765,0.07558390579315143,1.7853040973307048,0.12388450689462453
Eulemur_coronatus,Primates,Lemuridae,Eulemur,coronatus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,1650,Reported,Garbutt N. Mammals of Madagascar a Complete Guide (2007),NA,NA,Occurs only on isolated islands,EN,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.7696824303494263,0.08496658779683862,1.8767208061186662,0.12373898789757874
Eulemur_flavifrons,Primates,Lemuridae,Eulemur,flavifrons,1,0,0,0,Imputed,PHYLACINE 1.2,1850,Reported,"Wilson, D. E., et al., editors. 2013. Handbook of the Mammals of the World: 3. Primates. First edition. Lynx Edicions, Barcelona.",NA,NA,Occurs only on isolated islands,CR,No,100,0,0,Imputed 000 Species,PHYLACINE 1.2,2.803491063006603,0.08433630010722007,1.8480047662837085,0.12377565654174248
Eulemur_fulvus,Primates,Lemuridae,Eulemur,fulvus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,2500,Reported,Garbutt N. Mammals of Madagascar a Complete Guide (2007),NA,NA,Occurs only on isolated islands,NT,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.8867471414472594,0.0326190904650836,1.7724299100763472,0.1239117361207256
Eulemur_macaco,Primates,Lemuridae,Eulemur,macaco,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,1900,Reported,Garbutt N. Mammals of Madagascar a Complete Guide (2007),NA,NA,Occurs only on isolated islands,VU,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.81172641530187,0.08505971986659162,1.8413112596415506,0.12378539484306655
Eulemur_mongoz,Primates,Lemuridae,Eulemur,mongoz,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,1350,Reported,Garbutt N. Mammals of Madagascar a Complete Guide (2007),NA,NA,Occurs only on isolated islands,CR,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.706663588751993,0.08023798364571312,1.9270874698451623,0.12369470588988553
Eulemur_rubriventer,Primates,Lemuridae,Eulemur,rubriventer,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,2e3,Reported,Garbutt N. Mammals of Madagascar a Complete Guide (2007),NA,NA,Occurs only on isolated islands,VU,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.8282395918008865,0.09238205528055238,1.8284370723871928,0.12380539064100322
Eulemur_rufifrons,Primates,Lemuridae,Eulemur,rufifrons,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,1820,Reported,American Journal of Physical Anthropology 145: 55-66 (2007),NA,NA,Occurs only on isolated islands,NT,No,100,0,0,Transformed 000 Species,"Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.",2.796131411464115,0.07611495839979203,1.8521082629803471,0.12376990900858177
Eulemur_rufus,Primates,Lemuridae,Eulemur,rufus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,2375,Reported,Garbutt N. Mammals of Madagascar a Complete Guide (2007),NA,NA,Occurs only on isolated islands,VU,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.876515062852719,0.07646920014808593,1.7853040973307048,0.12388450689462453
Eulemur_sanfordi,Primates,Lemuridae,Eulemur,sanfordi,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,2250,Reported,Garbutt N. Mammals of Madagascar a Complete Guide (2007),NA,NA,Occurs only on isolated islands,EN,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.8581098357097625,0.06163554533496385,1.7988745169979834,0.12385760340412778
Euneomys_chinchilloides,Rodentia,Cricetidae,Euneomys,chinchilloides,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,87.6,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,DD,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.1416030364049665,0.06948968664520597,2.803990353124528,0.055592067693479186
Euneomys_fossor,Rodentia,Cricetidae,Euneomys,fossor,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,83,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,DD,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.1246908843624084,0.0751838036258439,2.8082186253603605,0.05479064533862127
Euneomys_mordax,Rodentia,Cricetidae,Euneomys,mordax,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,82,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.1212723225485246,0.07516650553433755,2.8091687929817093,0.05461265006744252
Euneomys_petersoni,Rodentia,Cricetidae,Euneomys,petersoni,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,83,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.124471395859077,0.0759607298836164,2.8082186253603605,0.05479064533862127
Euoticus_elegantulus,Primates,Galagidae,Euoticus,elegantulus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,300,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.4162306689978075,0.08553086715474614,1.7230004982167253,0.03883659390426811
Euoticus_pallidus,Primates,Galagidae,Euoticus,pallidus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,230,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.315777325396475,0.10089067996366206,1.789689767263804,0.03992066343171911
Eupetaurus_cinereus,Rodentia,Sciuridae,Eupetaurus,cinereus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,2500,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,EN,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",3.1387297643122753,0.10725617276134317,1.8769422291195057,0.06605260437590786
Euphractus_sexcinctus,Cingulata,CingulataFam,Euphractus,sexcinctus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,4782.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,50,0,50,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",3.0146378095668305,0.07172222601474527,1.0279997065405992,0.035749057323306827
