Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,Terrestrial,Marine,Freshwater,Aerial,Life.Habit.Method,Life.Habit.Source,Mass.g,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,Island.Endemicity,IUCN.Status.1.2,Added.IUCN.Status.1.2,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Diet.Method,Diet.Source,log10FMR_est,se.fmr,log10dens.est,se.dens
Ochotona_iliensis,Lagomorpha,Ochotonidae,Ochotona,iliensis,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,233.5,Reported,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",NA,NA,Occurs on mainland,EN,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.5392292734264306,0.13491134401873278,3.354014962494799,0.21714925874899915
Ochotona_koslowi,Lagomorpha,Ochotonidae,Ochotona,koslowi,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,165,Reported,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",NA,NA,Occurs on mainland,EN,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.4342197155183216,0.13484281385472083,3.3650972464594062,0.2030793236137191
Ochotona_ladacensis,Lagomorpha,Ochotonidae,Ochotona,ladacensis,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,239,Reported,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.542009318662181,0.1383114987174562,3.3532719189541282,0.2181110357141435
Ochotona_macrotis,Lagomorpha,Ochotonidae,Ochotona,macrotis,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,166,Reported,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.4352639972618424,0.13498603376335622,3.36490440203003,0.20331943490130994
Ochotona_mantchurica,Lagomorpha,Ochotonidae,Ochotona,mantchurica,1,0,0,0,Imputed,PHYLACINE 1.2,123.7,Imputed,PHYLACINE 1.2,NA,NA,Occurs on mainland,LC,No,100,0,0,Imputed 000 Species,PHYLACINE 1.2,2.3988604048333864,0.10401594624515924,3.3742917063298714,0.19185091512756527
Ochotona_nubrica,Lagomorpha,Ochotonidae,Ochotona,nubrica,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,115.5,Reported,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.37840967629373,0.1037626032036623,3.376480761259594,0.1892457514823392
Ochotona_opaca,Lagomorpha,Ochotonidae,Ochotona,opaca,1,0,0,0,Imputed,PHYLACINE 1.2,199.1,Imputed,PHYLACINE 1.2,NA,NA,Occurs on mainland,LC,No,100,0,0,Imputed 000 Species,PHYLACINE 1.2,2.5115394508674376,0.11708251661648467,3.359101515887914,0.21062524694507487
Ochotona_pallasii,Lagomorpha,Ochotonidae,Ochotona,pallasii,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,214,Reported,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.5332121806722734,0.11703203174997001,3.3567982011699695,0.21356625378841257
Ochotona_princeps,Lagomorpha,Ochotonidae,Ochotona,princeps,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,157.6,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.4474432175167116,0.09238562873404087,3.3665617057953683,0.2012618043877251
Ochotona_pusilla,Lagomorpha,Ochotonidae,Ochotona,pusilla,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,142.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.4178023381653664,0.11767469311277329,3.3697761925042085,0.19730993075850217
