Name_Ecosystem;Name_Ecosystem_new;Continent;Lat;Long;TotalHerbivoreBiomass_kgkm2;20kg_TotalHerbivoreBiomass_kgkm2;Year;Megafauna;Wolf_exploited;Livestock;Migrating_ecosystems;Source;Original_references;Note
Southwest Quebec;Southwest Quebec;NorthAmerica;46.8462;-75.6756;69;69;1976-1982;0;0;NA;NA;Hatton et al. 2014;Messier 1994;
Southwest Quebec;Southwest Quebec;NorthAmerica;46.8462;-75.6756;111;111;1976-81;0;0;NA;NA;Hatton et al. 2014;Messier 1994;
Teslin burn Yukon;Teslin burn;NorthAmerica;60.212;-132.7768;126;126;1972-77;0;0;NA;NA;Hatton et al. 2014;Messier 1994;
West-central Yukon;West-central Yukon;NorthAmerica;63.47;-138.274;53.55;53.55;1975-82;0;0;NA;NA;Hatton et al. 2014;Fuller 1989;
Acurizal Ranch;Acurizal;SouthAmerica;-17.8200817;-57.62;4034;NA;;NA;NA;3750;NA;Rodriguez et al. 2014;Schaller_(1983);Not included in Hatton
Cerro Cortado;Cerro Cortado;SouthAmerica;-19.48;-62.35;343;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Robinson_and_Bennett_(2004);Not included in Hatton
Cocha Cashu Biological Station;Cocha Cashu;SouthAmerica;-11.89;-71.41;475;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Janson_and_Emmons_(1990);Not included in Hatton
Guatopo;Guatopo;SouthAmerica;10.12;-66.47;270;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Eisenberg_et_al._(1979);Not included in Hatton
Hato Piñeiro;Hato Piñeiro;SouthAmerica;8.83;-68.13;8222;NA;;NA;NA;7988;NA;Rodriguez et al. 2014;Polisar_et_al._(2003);Not included in Hatton
Itaya Basin;Itaya;SouthAmerica;-4.29;-73.67;110;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Aquino_et_al._(2007);Not included in Hatton
Manu National Park, NE area;Manu;SouthAmerica;-11.91;-71.45;800;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Endo_et_al._(2010);Not included in Hatton
Roraima (Brazilian Amazon);Maraca;SouthAmerica;3.41;-61.71;2396;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Mendes_Pontes_(2004);Not included in Hatton
Tauhayu (Tamshiyacu-Tahuayo Comunal Reserve);Tauhayu;SouthAmerica;-4.35;-73.08;267;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Bodmer_et_al._(1994);Not included in Hatton
Uauaçu Lake;Uauaçu;SouthAmerica;-4.22;-62.42;144;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Haugaasen_and_Peres_(2005);Not included in Hatton
Yavari Miri (Tamshiyacu-Tahuayo Comunal Reserve);Yavari Miri;SouthAmerica;-4.88;-72.64;219;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Bodmer_et_al._(1994);Not included in Hatton
